Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
524	https://operacaocovid19.defesa.gov.br/noticias/noticia/1263	24/05/2020	Militares doam 3,5 toneladas de alimentos a famílias de baixa renda 	Cerca de 3,5 toneladas de alimentos foram arrecadadas em Ijuí, no Rio Grande do Sul, por militares do 27º Grupo de Artilharia de Campanha durante a Campanha do Alimento. O total arrecadado foi entregue à APAE, MEAME, Lar Bom Abrigo, Lar da Criança Henrique Liebich, Liga Feminina de Combate ao Câncer e Programa Mesa Brasil.	Alimentação		Centro-Oeste	DF	Brasília
525	https://operacaocovid19.defesa.gov.br/noticias/noticia/1264	24/05/2020	Forças Armadas se unem para capacitar profissionais de imprensa no combate à Covid-19	As Forças Armadas brasileiras, por meio do Comando Conjunto Leste, uniram-se, no dia 20 de maio, para capacitar profissionais de imprensa em procedimentos de desinfecção no combate ao novo coronavírus.	Coordenação		Sudeste	RJ	Rio de Janeiro
526	https://operacaocovid19.defesa.gov.br/noticias/noticia/1265	24/05/2020	Comando Conjunto Nordeste completa 60 dias de atuação, beneficiando a população nordestina	É nesse contexto, operando 24 horas por dia, que o Comando Conjunto Nordeste, responsável pelo enfrentamento da COVID-19 nos estados do Piauí, Ceará, Pernambuco, Alagoas e Sergipe, completa 60 dias de Operação COVID-19, desencadeando ações integradas e visando reforçar medidas de prevenção, segurança e bem-estar em favor da população nordestina, contra o novo coronavírus.	Coordenação		Nordeste	PE	Recife 
527	https://operacaocovid19.defesa.gov.br/noticias/noticia/1266	24/05/2020	FAB transporta Equipamentos de Proteção Individual para Macapá (AP)	Uma aeronave C-105 Amazonas da Força Aérea Brasileira (FAB) realizou, nesta sexta-feira (22/05), Transporte Aéreo Logístico em apoio à Operação COVID-19. O avião, pertencente ao Primeiro Esquadrão do Décimo Quinto Grupo de Aviação (1°/15°GAV) – Esquadrão Onça, transportou 4,5 toneladas de Equipamentos de Proteção Individual (EPIs) de São Paulo (SP) para Macapá (AP). A missão interministerial foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde.	Apoio Logístico		Norte	AP	Macapa
528	https://operacaocovid19.defesa.gov.br/noticias/noticia/1267	25/05/2020	Higienização constante é essencial para combater a transmissão do novo coronavírus	As desinfecções de locais públicos continuam por todo o País. A atividade é essencial no combate à transmissão do novo coronavírus. Neste sábado (23), o Comando Conjunto Rio Grande do Norte e Paraíba concluiu a desinfecção da Penitenciária Estadual de Alcaçuz, localizada no município de Nísia Floresta, na região metropolitana da capital potiguar.  	Comunicação		Centro-Oeste	DF	Brasília
529	https://operacaocovid19.defesa.gov.br/noticias/noticia/1268	25/05/2020	Comando Conjunto RN-PB doa 1,6 tonelada de alimentos para famílias beneficiadas pelo Profesp em Natal-RN	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, nos dias 12 e 14 de maio, a doação de kits de alimentação para famílias beneficiadas pelo Programa Forças no Esporte (Profesp), do núcleo da Base Naval de Natal.	Alimentação		Nordeste	RN	Natal
530	https://operacaocovid19.defesa.gov.br/noticias/noticia/1269	25/05/2020	Aeronaves C-105 da FAB transportam cilindros de oxigênio para Tabatinga (AM)	Duas aeronaves C-105 Amazonas da Força Aérea Brasileira (FAB) realizaram, nesta sexta-feira (22) e sábado (23), Transporte Aéreo Logístico em apoio à Operação COVID-19. Os aviões, pertencentes ao Primeiro Esquadrão do Nono Grupo de Aviação (1º/9ºGAV) – Esquadrão Arara, transportaram 55 cilindros de oxigênio reabastecidos, de Manaus (AM) para Tabatinga (AM). A missão foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde.	Apoio Logístico		Norte	AM	Tabatinga
531	https://operacaocovid19.defesa.gov.br/noticias/noticia/1270	25/05/2020	BATALHÃO APOIA A ASSOCIAÇÃO DE JUÍZES DO RIO GRANDE DO SUL NA DISTRIBUIÇÃO DE ALIMENTOS	No dia 24 de maio (domingo), foi realizada pelo 9º Batalhão de Infantaria Motorizado (9º BIMtz), em parceria com a Associação de Juízes do Rio Grande do Sul (AJURIS), Seção Pelotas, mais uma atividade beneficente em prol de pessoas em situação de rua no município.	Alimentação		Sul	RS	Pelotas
532	https://operacaocovid19.defesa.gov.br/noticias/noticia/1271	25/05/2020	Capitania Fluvial de Brasília orienta sobre prevenção à Covid-19 no Lago Paranoá	Durante as Ações de Fiscalização do Tráfego Aquaviário, a Capitania Fluvial de Brasília tem aproveitado as inspeções navais que realiza, inclusive em fins de semana e feriados no Lago Paranoá, para reforçar as orientações existentes quanto à prevenção ao novo coronavírus.	Inspeções Sanitárias		Centro-Oeste	DF	Brasília
533	https://operacaocovid19.defesa.gov.br/noticias/noticia/1272	25/05/2020	13 toneladas de insumos são doadas durante Ação Cívico-Social em Alcântara (MA)	erminou neste domingo (24), a Ação Cívico-Social Quarentena Solidária, promovida pela Guarnição de Aeronáutica de Alcântara (GUARNAE-AK). Desde o dia 16/05, a atividade atendeu 670 famílias de sete Agrovilas situadas em Alcântara (MA), além de duas comunidades do entorno.	Apoio de Saúde		Nordeste	MA	Alcântara
534	https://operacaocovid19.defesa.gov.br/noticias/noticia/1273	25/05/2020	Unidades de policiamento passam por descontaminação, em Belém-PA	A Equipe de Resposta Nuclear, Biológica, Química e Radiológica (EqpRspNBQR) do 2°Batalhão de Operações Ribeirinhas realizou, nos dias 20 e 21 de maio, a descontaminação preventiva do Batalhão de Polícia de Guardas e do Batalhão de Polícia de Eventos, ambos da Polícia Militar do Estado do Pará (PMPA), com objetivo de combater a proliferação do novo coronavírus. Durante as ações, foram descontaminados alojamentos, refeitórios, banheiros, salas internas, além de áreas externas, viaturas e motocicletas operativas.	Higienização		Norte	PA	Belém
535	https://operacaocovid19.defesa.gov.br/noticias/noticia/1274	24/05/2020	Kits distribuídos em parceria com Cidadania garantem segurança alimentar para famílias de beneficiados pelo PROFESP	O Ministério da Defesa, no contexto da Operação Covid-19, deu início ao segundo mês de distribuição de kits de alimentação às famílias das crianças e jovens atendidos pelo Programa Forças no Esporte (PROFESP) e por sua extensão, o Projeto João do Pulo (PJP). A iniciativa é possível graças à parceria da Pasta com o Ministério da Cidadania, que disponibiliza recursos para serem empregados na alimentação dos beneficiários dos programas. A grande capilaridade das Forças Armadas torna possível e efetiva a distribuição em todo o País.	Alimentação		Centro-Oeste	DF	Brasília
536	https://operacaocovid19.defesa.gov.br/noticias/noticia/1275	25/05/2020	Hospital Regional da Asa Norte, em Brasília-DF, recebe ações de capacitação e descontaminação	No dia 18 de maio, Militares do Comando Conjunto Planalto, formado pelas três Forças Armadas, realizaram a capacitação de funcionários e a descontaminação do Hospital Regional da Asa Norte, em Brasília-DF.	Higienização		Centro-Oeste	DF	Brasília
537	https://operacaocovid19.defesa.gov.br/noticias/noticia/1276	24/05/2020	Capacitações ampliam linha de frente no combate à Covid-19	A atuação dos militares das Forças Armadas no enfrentamento à pandemia causada pelo novo Coronavírus, por meio da Operação COVID-19, também privilegia a multiplicação de conhecimentos. A principal delas é a desinfecção de locais públicos. A atividade que militares da Marinha, do Exército e da Aeronáutica realizam periodicamente em locais públicos também é ensinada para agentes civis.	Apoio de Saúde		Centro-Oeste	DF	Brasília
538	https://operacaocovid19.defesa.gov.br/noticias/noticia/1277	24/05/2020	Comando Conjunto RN-PB inicia desinfecção da Penitenciária Estadual de Alcaçuz	O Comando Conjunto Rio Grande do Norte e Paraíba iniciou, no dia 20 de maio, a desinfecção da Penitenciária Estadual de Alcaçuz, maior unidade prisional do Rio Grande do Norte, localizada no município de Nísia Floresta-RN.	Higienização		Nordeste	RN	Nísia Floresta
539	https://operacaocovid19.defesa.gov.br/noticias/noticia/1278	25/05/2020	Conhecimento e prevenção auxiliam no combate ao novo coronavírus	Para divulgar a importância de conhecer e prevenir casos do novo coronavírus, militares das Forças Armadas realizam, nesta segunda-feira (25), ações de conscientização para navegantes e ribeirinhos, nas comunidades próximas ao município de Oriximiná (PA). Também foram entregues informativos a passageiros e tripulantes no Canal de Santana, no Amapá, e nas localidades de Ribamar Fiquene e Ribeirãozinho, no Maranhão, durante o fim de semana. Entre as orientações, está a importância da utilização de máscaras na prevenção à doença.  	Comunicação		Norte	PA	Oriximiná
540	https://operacaocovid19.defesa.gov.br/noticias/noticia/1279	25/05/2020	População do Arquipélago do Marajó recebe apoio de militares no combate à Covid-19	Em apoio à saúde pública do Arquipélago do Marajó, no estado do Pará, o Ministério da Defesa, por meio do Comando Conjunto Norte (CCN), realizou diversas ações voltadas para o combate à pandemia do novo coranavírus.	Apoio Logístico		Norte	PA	Marajó
541	https://operacaocovid19.defesa.gov.br/noticias/noticia/1280	26/05/2020	CIGS realiza segunda etapa de Ação Beneficente 	No dia 25 de maio de 2020, o Centro de Instrução de Guerra na Selva (CIGS) iniciou uma nova etapa da distribuição de cestas básicas aos integrantes do Projeto João do Pulo (PJP), extensão do Programa Forças no Esporte (PROFESP) do Ministério da Defesa.	Alimentação		Norte	AM	Manaus
542	https://operacaocovid19.defesa.gov.br/noticias/noticia/1281	26/05/2020	Nova etapa da Campanha de alimentos 	No dia 19 de maio, o Centro de Preparação de Oficiais da Reserva de Porto Alegre (CPOR/PA) deu continuidade à “Campanha de Alimentos” realizando a entrega de 80 cestas básicas, aproximadamente 2.000 kg de alimentos, ao Instituto Filhas de Maria Imaculada (Madre Brígida Pastorino), tendo como responsáveis as Irmãs Adriana Simões Corrêa e Elzira Maria Souza, e está localizado na Vila Tronco de Porto Alegre.	Alimentação		Sul	RS	Porto Alegre
543	https://operacaocovid19.defesa.gov.br/noticias/noticia/1282	27/05/2020	Capitania dos Portos da Bahia doa 1,6 tonelada de alimentos para famílias da Ilha de Maré, em Salvador - BA	A Capitania dos Portos da Bahia (CPBA) realizou, no dia 26 de maio, a distribuição de kits de alimentação e máscaras de tecido para famílias que residem na Ilha de Maré, localizada na Baía de Todos-os-Santos, em Salvador-BA. Durante a ação, foram entregues cerca 1,6 tonelada de alimentos, o que corresponde a 160 kits, e 600 máscaras reutilizáveis.	Alimentação		Nordeste	BA	Salvador 
544	https://operacaocovid19.defesa.gov.br/noticias/noticia/1283	27/05/2020	Delegacia Fluvial de Presidente Epitácio promove ações de combate ao novo coronavírus	A Delegacia Fluvial de Presidente Epitácio intensificou as ações de inspeção naval nos municípios de sua área de jurisdição, no Oeste Paulista. Além da rotina de fiscalização do tráfego aquaviário, as ações também estão voltadas para a conscientização da comunidade náutica no combate ao novo coronavírus.	Inspeções Sanitárias		Centro-Oeste	DF	Brasília
545	https://operacaocovid19.defesa.gov.br/noticias/noticia/1284	27/05/2020	Logística das Forças Armadas é usada para montagem de kits com mais de 1,5 milhão de itens de limpeza e higiene	Diversas ações estaduais e municipais, no enfrentamento ao novo coronavírus, contam com a capacidade logística das Forças Armadas. Um dos exemplos é a montagem de 300 mil kits de limpeza e higiene em Jundiaí, São Paulo. Cada kit recebe cinco itens: água sanitária, sabão, sabonete, detergente e álcool em gel. Ou seja, são 1,5 milhão de produtos a serem organizados.	Apoio Logístico		Sudeste	SP	Jundiaí
546	https://operacaocovid19.defesa.gov.br/noticias/noticia/1285	27/05/2020	Ações da Operação Verde Brasil 2 têm medidas de segurança contra a COVID-19	Em ação para reprimir delitos ambientais desde 11 de maio, militares envolvidos na Operação Verde Brasil 2 também adotam medidas para evitar a disseminação do novo coronavírus durante suas atividades. O Comando Conjunto Barão de Melgaço, que lidera as Organizações Militares do Mato Grosso, realizou na terça-feira (26) ações de desinfecções no Hospital Paulo Alemão e no Ginásio de Esportes do munícipio de Água Boa, e no Hospital Cristo Reis e na Escola Municipal Maria do Socorro Luz Reis Leite, em Ribeirão Cascalheira.	Higienização		Centro-Oeste	DF	Brasília
547	https://operacaocovid19.defesa.gov.br/noticias/noticia/1286	27/05/2020	Militares transportam 10 mil máscaras destinadas a comunidades indígenas	Militares das Forças Armadas transportaram, para embarque no Aeroporto da Pampulha, localizado na capital mineira, 10 mil máscaras de proteção facial. A carga doada é destinada às comunidades indígenas de Rondonópolis, Mato Grosso. O apoio prestado pelas Forças Armadas no transporte do material atende à solicitação Ministério da Mulher, da Família e dos Direitos Humanos e faz parte das ações de enfrentamento ao novo coronavírus.	Indígena	-	Centro-Oeste	MT	Rondopolís
548	https://operacaocovid19.defesa.gov.br/noticias/noticia/1287	27/05/2020	Força Conjunta Bandeirantes continua realizando Ajuda Humanitária	No dia 21 de maio, militares do 4º Batalhão de Infantaria Leve (Aeromóvel), organização militar integrante da Força Conjunta Bandeirantes, no contexto das ações humanitárias que tem realizado, iniciou o processamento e organização de donativos de empresas locais, sobretudo alimentos e materiais de higiene, que serão destinados ao apoio às famílias paulistas mais atingidas pela crise econômica provocada pela crise vigente, com a COVID-19.	Apoio Logístico		Sudeste	SP	São Paulo
549	https://operacaocovid19.defesa.gov.br/noticias/noticia/1288	28/05/2020	Parceria entre órgãos do governo e CNI recupera mais de mil respiradores	Exatos 1.016 respiradores foram consertados e devolvidos para instituições de saúde de diversos pontos do Brasil. Os aparelhos, que antes estavam encostados e sem uso, agora voltaram para a linha de frente no combate à Covid-19.	Indústria de Defesa		Centro-Oeste	DF	Brasília
551	https://operacaocovid19.defesa.gov.br/noticias/noticia/1290	28/05/2020	FAB transporta máscaras de proteção facial para regiões nordeste e norte do país	Uma aeronave C-105 Amazonas da Força Aérea Brasileira (FAB) realizou, entre o domingo (24) e segunda-feira (25), Transporte Aéreo Logístico em apoio à Operação COVID-19. O avião, pertencente ao Primeiro Esquadrão do Décimo Quinto Grupo de Aviação (1°/15°GAV) – Esquadrão Onça, transportou 15 mil máscaras do tipo Face Shields de Canoas (RS) para Maceió (AL), Macapá (AP) e Boa Vista (RR). A missão interministerial foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde.	Indústria de Defesa		Centro-Oeste	DF	Brasília
552	https://operacaocovid19.defesa.gov.br/noticias/noticia/1291	29/05/2020	FAB transporta mais de 20 mil unidades de Equipamentos de Proteção Individual	O transporte de insumos para o combate ao novo Coronavírus se mantém entre as ações realizadas pela Força Aérea Brasileira (FAB). Diante deste esforço, nesta quinta-feira (28), 	Apoio Logístico		Norte	PA	Belém
553	https://operacaocovid19.defesa.gov.br/noticias/noticia/1292	29/05/2020	AVIAÇÃO DO EXÉRCITO APOIA PRODUÇÃO DE 90 MIL MÁSCARAS FACIAIS	ontribuindo para os esforços no combate à COVID-19, o Comando de Aviação do Exército (CAvEx) em parceria com empresários do município, trabalha desde o mês de abril na confecção de máscaras faciais modelo Face Shield. Os equipamentos estão sendo doados a hospitais e profissionais de saúde de todo o Brasil.	Indústria de Defesa		Sudeste	SP	Taubaté
554	https://operacaocovid19.defesa.gov.br/noticias/noticia/1293	29/05/2020	Marinha realiza descontaminação em prédios de órgãos públicos no Pará	A Marinha do Brasil realizou, nos dias 25, 26 e 27 de maio, a descontaminação de prédios de órgãos públicos, em Belém-PA, em ações de combate ao novo coronavírus no estado. A Equipe de Resposta Nuclear, Biológica, Química e Radiológica (EqpRspNBQR) do Comando do 4º Distrito Naval esteve no Batalhão de Polícia Rodoviária (BPRV) de Marituba-PA, na Superintendência do Patrimônio da União no Pará, e na Superintendência Regional do Trabalho e Emprego no Pará, respectivamente.	Higienização		Norte	PA	Belém
555	https://operacaocovid19.defesa.gov.br/noticias/noticia/1294	29/05/2020	Capitania dos Portos do Rio Grande do Norte realiza ações de inspeção Naval e conscientização sobre o novo coronavírus	De 18 a 22 de maio, a Capitania dos Portos do Rio Grande do Norte (CPRN) intensificou as ações de inspeção naval nos açudes Gargalheiras, Itans, Pataxó, Boqueirão e Barragem Armando Ribeiro Gonçalves, importantes reservatórios do interior do Estado.	Apoio de Saúde		Nordeste	RN	Acari e Assu
556	https://operacaocovid19.defesa.gov.br/noticias/noticia/1295	29/05/2020	Batalhão dos Paraibanos contribui semanalmente com Hemocentro de João Pessoa/PB	João Pessoa (PB) – No contexto da Operação COVID-19, o 15º Batalhão de Infantaria Motorizado (15º BI Mtz) realizou, no dia 28 de maio, em cumprimento ao Plano Operacional do Comando Conjunto Rio Grande do Norte e Paraíba (Cmdo Cj RN/PB), a atividade de doação de sangue no Hemocentro de João Pessoa, com o objetivo manter o estoque mínimo de sangue, bem como o menor impacto possível à sociedade local, neste momento de combate e prevenção à COVID-19, assim como, estimulando o ato solidário de doar sangue.	Apoio de Saúde		Nordeste	PB	João Pessoa
557	https://operacaocovid19.defesa.gov.br/noticias/noticia/1296	29/05/2020	Marinha do Brasil capacita agentes públicos para descontaminação do Complexo Penitenciário de Salvador	No dia 26 de maio, a Equipe de Defesa Nuclear, Biológica, Química e Radiológica (DefNBQR) do Grupamento de Fuzileiros Navais de Salvador (GptFNSa), subordinado ao Comando do 2º Distrito Naval (Com2ºDN), conduziu a capacitação de 20 agentes da Secretaria de Administração Penitenciária e Ressocialização do Estado da Bahia (SEAP). O objetivo foi permitir que funcionários da instituição realizem a descontaminação das unidades que compõem o Complexo Penitenciário de Salvador, bem como estejam em condições de multiplicar os conhecimentos adquiridos, formando pessoal habilitado para a condução da atividade.	Coordenação		Nordeste	BA	Salvador 
558	https://operacaocovid19.defesa.gov.br/noticias/noticia/1297	01/06/2020	Batalhão apoia transporte e distribuição de cestas básicas em Blumenau/SC	Blumenau (SC) – O 23º Batalhão de Infantaria (23º BI) realizou a coleta, transporte e distribuição de cestas básicas para famílias carentes dos alunos da Escola Básica Municipal Francisco Lanser, vulneráveis ao impacto social causado pela COVID-19.	Alimentação		Sul	SC	Blumenau 
559	https://operacaocovid19.defesa.gov.br/noticias/noticia/1298	01/06/2020	Comando do 7º Distrito capacita agentes da Polícia Legislativa para descontaminação	Entre 19 e 22 de maio, Militares do Comando do 7º Distrito Naval que integram o Comando Conjunto Planalto, formado pelas Forças Armadas, capacitaram agentes da Polícia Legislativa para realizar procedimentos de descontaminação	Coordenação		Centro-Oeste	DF	
560	https://operacaocovid19.defesa.gov.br/noticias/noticia/1299	01/06/2020	Grupo realiza a desinfecção não especializada em áreas públicas	Marabá (PA) – No dia 27 de maio, o 1° Grupo de Artilharia de Campanha de Selva (1º GAC Sl), prosseguiu na atividades de desinfecção. Desta vez, a atividade foi realizada na Praça da Criança e na área externa do Hospital Municipal de Marabá, no bairro Nova Marabá, locais públicos de circulação constante de pessoas, onde existe uma academia ao ar livre e brinquedos infantis. A ação tem por objetivo prevenir e diminuir os riscos de propagação do coronavírus.	Higienização		Norte	PA	Marabá
561	https://operacaocovid19.defesa.gov.br/noticias/noticia/1300	01/06/2020	Marinha realiza ações de combate à Covid-19 durante inspeção naval, em Piripiri-PI	A Capitania dos Portos do Piauí (CPPI) realizou, em maio, atividades de inspeção naval e ações de conscientização de combate ao novo coronavírus no Açude Caldeirão, na cidade de Piripiri-PI. Na ocasião, a CPPI também prestou apoio logístico de embarcação para a equipe da Agência Nacional de Vigilância Sanitária e da Polícia Militar.	Apoio Logístico		Nordeste	PI	Piripiri
563	https://operacaocovid19.defesa.gov.br/noticias/noticia/1302	01/06/2020	Estação Naval do Rio Grande distribui a segunda etapa de kits de alimentação aos alunos do Programa Forças no Esporte	A Estação Naval do Rio Grande (ENRG) realizou, no dia 19 de maio, a segunda entrega de kits de alimentação a beneficiados do Programa Forças no Esporte (Profesp), de escolas municipais e estaduais de Rio Grande-RS.	Alimentação		Sul	RS	Rio Grande 
564	https://operacaocovid19.defesa.gov.br/noticias/noticia/1303	01/06/2020	22° GAC AP auxilia no controle de caminhoneiros na ponte internacional	Uruguaiana (RS) – A cidade da fronteira oeste do Rio Grande do Sul, ganhou nessa semana um importante reforço no combate à Covid-19. A parceria entre a Prefeitura Municipal, o Exército Brasileiro, através do 22º Grupo de Artilharia de Campanha Autopropulsado (22º GAC AP), a Associação Brasileira de Transportadores Internacionais e o Sindicato dos Despachantes Aduaneiros do Rio Grande do Sul, desde segunda-feira, 25 de maio, realiza o processo de sanitização de todos os veículos de carga que ingressam ao Brasil, através da ponte internacional. Além da higienização dos caminhões, os motoristas passam pela aferição de temperatura corporal, através do trabalho desenvolvido por enfermeiros e técnicos em enfermagem disponibilizados pela Secretaria Municipal de Saúde.	Higienização		Sul	RS	Uruguaiana
565	https://operacaocovid19.defesa.gov.br/noticias/noticia/1304	01/06/2020	FAB transporta cilindros de oxigênio para São Gabriel da Cachoeira (AM)	Uma aeronave C-105 Amazonas da Força Aérea Brasileira (FAB) realizou neste domingo (31), Transporte Aéreo Logístico em apoio à Operação COVID-19. O avião, pertencente ao Primeiro Esquadrão do Nono Grupo de Aviação (1º/9º GAV) – Esquadrão Arara, transportou 55 cilindros de oxigênio de Manaus (AM) para São Gabriel da Cachoeira (AM). A missão foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde.	Apoio Logístico		Norte	AM	São Gabriel da Cachoeira 
566	https://operacaocovid19.defesa.gov.br/noticias/noticia/1305	01/06/2020	Arsenais de Guerra empenhados no combate à COVID-19, sob coordenação da Diretoria de Fabricação	A Diretoria de Fabricação (DF), órgão subordinado ao Departamento de Ciência e Tecnologia (DCT), tem por finalidade coordenar e controlar as atividades relativas à fabricação, revitalização, repotencialização, modernização e nacionalização de Material de Emprego Militar (MEM), por intermédio de suas Organizações Militares Diretamente Subordinadas Fabris: Arsenal de Guerra do Rio (AGR), Arsenal de Guerra de São Paulo (AGSP) e Arsenal de Guerra General Câmara (AGGC), constituindo o Sistema de Fabricação do Exército (SisFab).	Apoio Logístico		Sudeste	RJ	Rio de Janeiro 
567	https://operacaocovid19.defesa.gov.br/noticias/noticia/1306	01/06/2020	Militares realizaram mais de 300 campanhas de doação de sangue em todo país	Brasília (DF), 26/05/2020 – Desde a ativação da Operação Covid-19 já foram realizadas mais de 300 campanhas de doação de sangue em todo o País. Entre as ações efetivadas pelas Forças Armadas no enfrentamento ao novo coronavírus, essa é uma das atividades diárias. Na tarde desta terça-feira (26), militares do Comando Conjunto da Bahia iniciaram campanha de doação na Fundação Hemoba. A ação continua até a quinta-feira (28).	Apoio de Saúde		Centro-Oeste	DF	Brasília
568	https://operacaocovid19.defesa.gov.br/noticias/noticia/1307	01/06/2020	Militares do Regimento Anhanguera participam da Campanha "Ajudar está no nosso Sangue"	Pirassununga (SP) – No dia 28 de maio de 2020, militares do 13º Regimento de Cavalaria Mecanizado (13º RC Mec), “Regimento Anhanguera” participaram da Campanha "Ajudar está no nosso Sangue" promovida pelo Exército Brasileiro, que estimula os militares a doar sangue voluntariamente, a fim de incrementar os estoques de sangue em unidades de coleta.	Apoio de Saúde		Sudeste	SP	Pirassununga
569	https://operacaocovid19.defesa.gov.br/noticias/noticia/1308	01/06/2020	Militares cooperam com ações da Cruz Vermelha no combate ao novo coronavírus	Brasília (DF), 28/05/2020 – As Forças Armadas realizam ações em parceria com diversas instituições e organizações para o enfrentamento à Covid-19. No Comando Militar do Sudeste, militares do 8º Batalhão de Polícia do Exército apoiam a Cruz Vermelha de São Paulo. A ação consiste na organização, triagem e preparação de kits de alimentação, de higiene e de limpeza destinados à população em situação de vulnerabilidade social.	Apoio de Saúde		Sudeste	RJ	Rio de Janeiro 
570	https://operacaocovid19.defesa.gov.br/noticias/noticia/1309	01/06/2020	Banda de Música da Brigada leva alegria a famílias durante isolamento social	São Gabriel da Cachoeira (AM) – Nos dias 23 e 24 de maio, a Banda de Música da 2ª Brigada de Infantaria de Selva (2ª Bda Inf Sl) visitou as Vilas Militares da Guarnição, com a finalidade de levar alegria às famílias e propagar a mensagem positiva de que este momento é passageiro. A exibição foi muito aplaudida pelos moradores.	Comunicação		Norte	AM	São Gabriel da Cachoeira
571	https://operacaocovid19.defesa.gov.br/noticias/noticia/1310	01/06/2020	Capitania dos Portos do Amapá doa alimentos para orfanato e associação de vítimas de escalpelamento	No dia 27 de maio, a Capitania dos Portos do Amapá (CPAP) em parceria com a Sociedade Amigos da Marinha do Amapá, doou aproximadamente uma tonelada de alimentos ao Orfanato - Casa da Hospitalidade, em Santana-AP, e à Associação de Mulheres Ribeirinhas Vítimas de Escalpelamento da Amazônia (AMRVEA), em Macapá-AP.	Alimentação		Norte	AP	Macapá
572	https://operacaocovid19.defesa.gov.br/noticias/noticia/1311	01/06/2020	Operação de descontaminação é realizada em Instituições de Corumbá	No dia 29 de maio, o Comando Conjunto Oeste (C Cj Oeste), por meio da Força Naval Componente e da Força Terrestre Componente Pantanal, empregou 19 militares da Marinha do Brasil e do Exército Brasileiro para realizar ações de descontaminação preventiva nas instalações da Coordenadoria Regional de Educação e da Escola Municipal José de Souza Dammy, a fim de combater a proliferação do novo coronavírus.	Higienização		Centro-Oeste	MS	Corumbá
573	https://operacaocovid19.defesa.gov.br/noticias/noticia/1312	01/06/2020	Organizações militares arrecadam alimentos para doação e mantêm hospitais higienizados	Militares de Barueri e Osasco, em São Paulo, arrecadaram mais de 3 toneladas de alimentos para doação às famílias que sofreram com a retratação da economia, em virtude da pandemia do novo coronavírus. Os mantimentos foram doados para moradores das próprias cidades e Carapicuíba. As organizações da Região Sudeste também distribuíram quase uma tonelada de alimentos para a Casa de Acolhimento da Criança e do Adolescente de Osasco.	Alimentação		Sudeste	SP	Barueri
574	https://operacaocovid19.defesa.gov.br/noticias/noticia/1313	01/06/2020	Grupo apoia transporte de alimentos na Operação COVID-19	No dia 28 de maio de 2020, nas instalações da Companhia Nacional de Abastecimento (CONAB), aconteceu a solenidade que marcou o lançamento oficial da ação de distribuição de alimentos do Governo Federal às comunidades vulneráveis de indígenas e quilombolas, devido à pandemia do novo coronavírus (COVID-19).	Alimentação		Centro-Oeste	MT	Rondonópolis 
575	https://operacaocovid19.defesa.gov.br/noticias/noticia/1314	01/06/2020	Pesquisadores das Forças Armadas investem em novas soluções para vencer a pandemia	Em tempos de pandemia, são muitos os esforços no combate à Covid-19. Militares pesquisadores e cientistas das Forças Armadas Brasileiras trabalham arduamente na busca de soluções que possam contribuir para enfrentar a doença que assombra o mundo. A partir desta segunda-feira (1º), o leitor acompanha série de três matérias sobre inciativas da Marinha, do Exército e da Aeronáutica na área técnico-científica, que fazem toda a diferença no cenário nacional.	Coordenação		Sudeste	SP	São Paulo
576	https://operacaocovid19.defesa.gov.br/noticias/noticia/1315	01/06/2020	Regimento realiza a desinfecção de Instalações do Ministério Público Federal em João Pessoa/PB	No dia 29 de maio de 2020, o 16º Regimento de Cavalaria Mecanizado (16º RC Mec), prosseguiu cumprindo diretrizes do Comando Conjunto Rio Grande do Norte e Paraíba (Cmdo Cj RN/PB), com as atividades sanitárias preventivas ao novo coronavírus no contexto da Operação COVID-19. Foi realizada a seguraça e a desinfecção do Ministério Público Federal em João Pessoa/PB, para prevenir e eliminar possíveis focos de contaminação, garantindo segurança sanitária aos usuários do local.	Higienização		Nordeste	PB	João Pessoa
